site,landuse,landform,Depth,Horizon,fractroots,finerootfrac
R2H1,hardwood,interfluve,116,B,0.075,1
R2H1,hardwood,interfluve,117,B,0.1,1
R2H1,hardwood,interfluve,118,B,0.075,1
R2H1,hardwood,interfluve,119,B,0.05,1
R2H1,hardwood,interfluve,120,B,0.05,1
R2H1,hardwood,interfluve,121,B,0.075,1
R2H1,hardwood,interfluve,122,B,0.075,0.666666667
R2H1,hardwood,interfluve,123,B,0.125,0.8
R2H1,hardwood,interfluve,124,B,0.075,1
R2H1,hardwood,interfluve,125,B,0.075,0.666666667
R2H1,hardwood,interfluve,126,BC,0.125,0.8
R2H1,hardwood,interfluve,127,BC,0.125,1
R2H1,hardwood,interfluve,128,BC,0.1,0.75
R2H1,hardwood,interfluve,129,BC,0.075,1
R2H1,hardwood,interfluve,130,BC,0.1,0.75
R2H1,hardwood,interfluve,131,BC,0.125,1
R2H1,hardwood,interfluve,132,BC,0.125,1
R2H1,hardwood,interfluve,133,BC,0.125,1
R2H1,hardwood,interfluve,134,BC,0.15,0.833333333
R2H1,hardwood,interfluve,135,BC,0.15,0.833333333
R2H1,hardwood,interfluve,136,BC,0.075,0.666666667
R2H1,hardwood,interfluve,137,BC,0.05,1
R2H1,hardwood,interfluve,138,BC,0.05,0.5
R2H1,hardwood,interfluve,139,BC,0.075,0.666666667
R2H1,hardwood,interfluve,140,BC,0.075,1
R2H1,hardwood,interfluve,141,BC,0.05,1
R2H1,hardwood,interfluve,142,BC,0.125,0.8
R2H1,hardwood,interfluve,143,BC,0.225,0.666666667
R2H1,hardwood,interfluve,144,BC,0.25,0.7
R2H1,hardwood,interfluve,145,BC,0.075,0
R2H1,hardwood,interfluve,146,BC,0.2,0.75
R2H1,hardwood,interfluve,147,BC,0.05,0.5
R2H1,hardwood,interfluve,148,BC,0.075,0.666666667
R2H1,hardwood,interfluve,149,BC,0.075,0.666666667
R2H1,hardwood,interfluve,150,BC,0.175,0.285714286
R2H1,hardwood,interfluve,151,BC,0.1,0.25
R2H1,hardwood,interfluve,152,BC,0.05,0.5
R2H1,hardwood,interfluve,153,BC,0.025,1
R2H1,hardwood,interfluve,154,BC,0.05,1
R2H1,hardwood,interfluve,155,BC,0.1,0.5
